,location,total_sqft,bath,price,bhk
62,Kalena Agrahara,1150.0,2.0,40.0,2
63,other,2511.0,3.0,205.0,3
64,ISRO Layout,4400.0,6.0,250.0,6
65,other,1660.0,2.0,105.0,3
66,Hennur Road,4682.0,2.0,224.5,4
67,Yelahanka,1326.0,2.0,78.0,2
68,Garudachar Palya,1325.0,2.0,60.8,3
69,Hegde Nagar,3000.0,7.0,210.0,6
70,Kanakpura Road,1665.0,3.0,88.0,3
71,Dasanapura,708.0,2.0,37.0,2
72,Kasavanhalli,1060.0,2.0,58.06,2
73,Sanjay nagar,1000.0,2.0,70.0,2
74,Electronic City,1000.0,2.0,28.88,2
75,other,1450.0,2.0,70.0,3
76,Thanisandra,1296.0,2.0,80.0,2
77,Domlur,1540.0,3.0,90.0,3
78,Sarjapura - Attibele Road,1330.0,2.0,48.0,3
79,other,1200.0,2.0,65.0,2
80,other,1200.0,3.0,90.0,3
81,Yeshwanthpur,2502.0,3.0,138.0,3
82,Kothanur,2400.0,2.0,150.0,3
83,other,1007.0,2.0,43.0,2
84,other,1200.0,2.0,50.0,2
85,other,966.0,2.0,49.9,2
86,Nagarbhavi,1630.0,2.0,98.0,3
87,other,782.0,2.0,55.68,2
88,Devanahalli,1260.0,2.0,66.78,2
89,other,1800.0,3.0,120.0,3
90,other,1413.0,2.0,75.0,3
91,Whitefield,1116.0,2.0,51.91,2
92,Electronic City,1530.0,2.0,45.9,3
93,Ramamurthy Nagar,3700.0,4.0,225.0,4
94,Sarjapur  Road,2497.0,3.0,140.0,3
95,Kengeri,1540.0,2.0,64.0,3
96,Thanisandra,1436.0,3.0,74.75,3
97,Malleshwaram,1100.0,2.0,75.0,2
98,Hebbal,7145.0,4.0,477.0,4
99,Shampura,2650.0,4.0,150.0,4
100,Devanahalli,1282.0,2.0,68.52,3
101,Kadugodi,1050.0,2.0,34.0,2
102,LB Shastri Nagar,1600.0,3.0,65.0,3
103,other,945.0,2.0,54.0,2
104,Hormavu,1500.0,2.0,78.0,2
105,other,1870.0,3.0,110.0,3
106,Sarjapur,1600.0,3.0,75.0,3
107,Kudlu Gate,1535.0,3.0,83.0,3
108,Kanakpura Road,950.0,2.0,57.0,2
109,Devanahalli,1360.0,2.0,65.0,2
110,8th Phase JP Nagar,1594.5,2.0,54.005,2
111,Bommasandra Industrial Area,1280.0,3.0,50.4,3
112,other,1260.0,2.0,85.05,3
113,Yelahanka,3050.0,5.0,213.0,5
114,Kasavanhalli,1563.05,3.0,105.0,3
115,ISRO Layout,1000.0,2.0,60.0,2
116,Anandapura,1167.0,2.0,43.76,2
117,Kothanur,1828.0,3.0,110.0,3
118,Kengeri Satellite Town,890.0,2.0,35.0,2
119,other,1612.0,3.0,46.74,3
120,Mysore Road,1710.0,4.0,91.31,3
121,Kannamangala,957.0,2.0,58.0,2
122,Devarachikkanahalli,1250.0,2.0,44.0,3
123,Hulimavu,1125.0,2.0,50.0,2
124,Electronic City Phase II,1020.0,2.0,30.6,2
125,Kalena Agrahara,1200.0,2.0,50.0,2
126,Thanisandra,1735.0,3.0,135.0,3
127,Thanisandra,2050.0,3.0,145.0,3
128,other,1350.0,2.0,48.0,3
129,Hosa Road,1063.0,2.0,32.0,2
130,other,1904.0,3.0,150.0,3
131,other,1425.0,2.0,75.0,3
132,Electronic City,1500.0,2.0,64.5,3
133,Electronic City,1060.0,2.0,60.0,2
134,other,1470.0,2.0,70.0,3
135,Electronic City,1152.0,2.0,64.5,2
136,Electronic City,1350.0,2.0,56.0,3
137,CV Raman Nagar,1550.0,3.0,65.0,3
138,other,1500.0,3.0,100.0,3
139,Nagavara,400.0,1.0,14.0,1
140,Electronic City,770.0,1.0,36.0,2
141,Hulimavu,1242.0,2.0,51.0,2
142,Thanisandra,2144.0,3.0,145.0,3
143,Vijayanagar,1704.0,3.0,110.0,3
144,Electronic City,1070.0,2.0,52.0,2
145,other,1340.0,2.0,55.7,2
146,Electronic City,1025.0,2.0,46.0,2
147,KR Puram,1785.0,2.0,56.8,2
148,Marathahalli,1200.0,2.0,52.0,2
149,Kanakpura Road,2250.0,4.0,110.0,4
150,Pattandur Agrahara,1550.0,2.0,80.0,3
151,Marathahalli,1200.0,2.0,60.0,2
152,Yelahanka,1327.0,2.0,98.0,2
153,Kothanur,1186.0,2.0,58.0,2
154,other,1783.0,3.0,115.0,3
155,HSR Layout,1400.0,3.0,56.0,3
156,Nagasandra,980.0,2.0,48.0,2
157,EPIP Zone,1285.0,2.0,82.0,2
158,other,912.0,2.0,70.0,3
159,Whitefield,1225.0,2.0,47.6,2
160,Whitefield,1075.0,2.0,53.0,2
161,Kadugodi,1260.0,2.0,54.0,3
162,Yelahanka,1282.0,2.0,48.7,3
163,Kogilu,1909.0,3.0,88.0,3
164,Panathur,1359.0,2.0,87.0,2
165,other,1207.0,2.0,43.5,2
166,Kammasandra,1595.0,3.0,65.0,3
167,other,1798.0,3.0,89.0,3
168,Electronics City Phase 1,1475.0,3.0,78.29,3
169,other,1580.0,3.0,100.0,3
170,Dasarahalli,1295.0,2.0,65.0,2
171,Magadi Road,3600.0,6.0,141.0,6
172,Electronic City,589.0,1.0,27.0,1
173,other,1415.0,3.0,78.0,3
174,Sarjapur  Road,1787.0,3.0,98.29,3
175,Sarjapur  Road,1787.0,3.0,125.0,3
176,Koramangala,1475.0,2.0,90.0,3
177,other,2000.0,4.0,75.5,4
178,Sarjapur  Road,984.0,2.0,44.28,2
179,Devanahalli,2390.0,2.0,74.82,3
180,7th Phase JP Nagar,1080.0,2.0,72.0,2
181,other,1500.0,2.0,115.0,2
182,Hebbal,1900.0,3.0,119.0,3
183,Budigere,1153.0,2.0,56.4,2
184,other,1148.0,2.0,60.0,2
185,other,1110.0,2.0,55.0,2
186,Electronic City,1100.0,2.0,42.0,2
187,other,1500.0,2.0,65.0,3
188,other,1080.0,2.0,39.0,2
189,Vijayanagar,1933.0,3.0,129.0,3
190,Ramamurthy Nagar,3500.0,5.0,150.0,5
191,other,1060.0,2.0,60.0,2
192,other,1644.0,3.0,84.0,3
193,other,1285.0,2.0,72.5,2
194,Electronic City,1200.0,3.0,90.0,3
195,Electronic City,910.0,2.0,40.0,2
196,Kothanur,1577.0,3.0,70.0,3
197,other,4050.0,3.0,280.0,3
198,OMBR Layout,2420.0,3.0,185.0,3
199,other,1060.0,2.0,55.0,2
200,7th Phase JP Nagar,1270.0,2.0,93.0,2
201,other,1280.0,2.0,69.0,2
202,Horamavu Agara,1200.0,2.0,95.0,4
203,Sarjapur  Road,1025.0,2.0,36.0,2
204,Electronic City,1108.0,2.0,63.0,2
205,other,3045.0,3.0,170.0,3
206,Vijayanagar,1500.0,3.0,75.5,3
207,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2
208,Budigere,1162.0,2.0,59.9,2
209,Sarjapur  Road,1035.0,2.0,49.2,2
210,Attibele,1600.0,4.0,52.8,4
211,other,1464.0,3.0,46.0,3
212,Hennur Road,1866.0,2.0,61.58,3
213,other,700.0,1.0,26.0,2
214,Kalena Agrahara,1804.0,3.0,120.0,3
215,Sarjapur,913.0,2.0,32.0,2
216,Talaghattapura,1868.0,3.0,131.0,3
217,Kengeri Satellite Town,883.0,2.0,45.0,2
218,Kogilu,1664.0,2.0,73.95,3
219,Hegde Nagar,2026.0,3.0,132.0,3
220,Balagere,1210.0,2.0,80.9,2
221,other,4111.0,4.0,250.0,4
222,Kadugodi,1762.0,3.0,91.45,3
223,Jigani,1252.0,3.0,55.0,3
224,Gollarapalya Hosahalli,861.0,2.0,34.5,2
225,7th Phase JP Nagar,1420.0,2.0,100.0,3
226,Electronics City Phase 1,1490.0,3.0,78.8,3
227,Bisuvanahalli,1075.0,2.0,46.0,3
228,Old Madras Road,1425.0,2.0,94.0,3
229,Kalena Agrahara,1200.0,2.0,40.0,2
230,Kaggadasapura,1280.0,2.0,56.0,3
231,other,1084.0,2.0,50.0,2
232,Kanakpura Road,1017.0,2.0,51.25,2
233,Haralur Road,1027.0,2.0,44.0,2
234,Electronic City Phase II,1069.0,2.0,45.0,2
235,Hebbal,1349.0,2.0,98.2,2
236,9th Phase JP Nagar,1005.0,2.0,50.0,2
237,Jakkur,1417.0,2.0,75.0,2
238,TC Palaya,1475.0,3.0,98.0,3
239,other,950.0,2.0,47.0,2
240,other,2000.0,4.0,120.0,4
241,Sarjapur  Road,1863.0,3.0,104.0,4
242,Singasandra,1010.0,2.0,29.5,2
243,Kalena Agrahara,1425.0,2.0,70.0,3
244,Vijayanagar,1450.0,3.0,100.0,3
245,Kothanur,1847.0,3.0,105.0,3
246,AECS Layout,1100.0,2.0,45.0,2
247,Kanakpura Road,525.0,1.0,26.0,1
248,Mallasandra,1665.0,3.0,95.0,3
249,Begur,1664.0,4.0,65.0,4
250,JP Nagar,1850.0,3.0,150.0,3
251,Panathur,1438.0,2.0,100.0,2
252,other,1560.0,3.0,115.0,3
253,Yelahanka,1350.0,2.0,55.55,2
254,Kanakpura Road,1550.0,3.0,67.0,3
255,Malleshpalya,1140.0,2.0,46.5,2
256,other,850.0,2.0,27.0,2
257,Whitefield,1280.0,2.0,75.0,2
258,Munnekollal,1170.0,2.0,52.0,2
259,other,1113.0,2.0,51.0,2
260,Hennur Road,1385.0,2.0,83.09,2
261,Electronic City,1128.0,2.0,65.0,2
262,Haralur Road,1464.0,3.0,56.0,3
263,other,1200.0,2.0,55.0,2
264,Kaval Byrasandra,1200.0,2.0,52.0,2
265,Kaggalipura,1150.0,2.0,55.0,3
266,other,1645.0,3.0,95.0,3
267,Sarjapur  Road,1000.0,2.0,67.0,2
268,Haralur Road,2650.0,4.0,198.0,4
269,6th Phase JP Nagar,1192.0,2.0,74.0,2
270,Whitefield,1173.0,2.0,58.0,2
271,Uttarahalli,1020.0,2.0,45.0,2
272,Somasundara Palya,1600.0,3.0,64.0,3
273,other,1200.0,2.0,79.0,2
274,other,1230.0,2.0,48.0,2
275,Devarachikkanahalli,1250.0,2.0,40.0,2
276,Kalena Agrahara,1325.0,2.0,76.0,2
277,7th Phase JP Nagar,1850.0,3.0,150.0,3
278,Kanakpura Road,525.0,2.0,21.53,1
279,Basaveshwara Nagar,1200.0,2.0,65.0,2
280,Bommasandra,1260.0,3.0,49.36,3
281,Ardendale,1100.0,2.0,43.25,2
282,Harlur,1508.0,2.0,77.0,2
283,other,1592.0,3.0,75.0,3
284,Akshaya Nagar,1388.0,2.0,57.0,2
285,Electronic City Phase II,630.0,1.0,28.35,1
286,other,1762.0,3.0,125.0,3
287,other,950.0,2.0,50.0,2
288,Magadi Road,1116.0,2.0,50.0,2
289,Narayanapura,1308.0,2.0,89.04,2
290,other,1200.0,3.0,90.0,3
291,Bannerghatta Road,500.0,1.0,18.5,1
292,Hennur,1075.0,2.0,52.0,2
293,Bellandur,1205.0,2.0,66.0,2
294,5th Phase JP Nagar,1075.0,2.0,60.0,2
295,KR Puram,930.0,2.0,39.0,2
296,Balagere,1380.0,2.0,60.0,2
297,Kodigehaali,1166.0,2.0,55.0,2
298,Bannerghatta Road,1050.0,2.0,65.0,2
299,Begur Road,1200.0,2.0,46.8,2
300,Lakshminarayana Pura,1600.0,2.0,108.0,3
301,Billekahalli,1935.0,3.0,110.0,3
302,8th Phase JP Nagar,451.0,1.0,29.9,1
303,Electronic City,1800.0,3.0,95.0,3
304,Jalahalli,1400.0,3.0,77.0,3
305,Hegde Nagar,1801.0,3.0,115.0,3
306,Mahadevpura,1451.0,2.0,90.0,2
307,Anekal,1200.0,1.0,36.0,2
308,Begur Road,1160.0,2.0,44.0,2
309,Kanakpura Road,950.0,2.0,40.0,2
310,other,1629.0,3.0,79.0,3
311,Vijayanagar,1826.0,3.0,121.0,3
312,7th Phase JP Nagar,1245.0,2.0,94.0,2
313,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2
314,Sompura,825.0,2.0,33.0,2
315,Yeshwanthpur,1693.0,3.0,108.0,3
316,Electronics City Phase 1,1113.27,2.0,53.0,2
317,other,1460.0,2.0,58.0,2
318,Doddathoguru,1050.0,2.0,32.0,2
319,Dodda Nekkundi,1260.0,2.0,55.0,2
320,Hosur Road,1656.0,2.0,120.0,2
321,Chandapura,1208.0,3.0,45.0,3
322,Whitefield,3252.0,4.0,230.0,4
323,Battarahalli,1200.0,2.0,65.0,2
324,7th Phase JP Nagar,1175.0,2.0,82.0,2
325,other,1185.0,2.0,38.0,2
326,Kengeri,750.0,2.0,38.0,2
327,Kanakpura Road,1550.0,3.0,64.5,3
328,other,1760.0,3.0,88.0,3
329,Billekahalli,1125.0,2.0,62.0,2
330,Anandapura,1000.0,2.0,55.0,2
331,Bommasandra Industrial Area,1090.0,2.0,31.48,2
332,TC Palaya,1200.0,2.0,60.0,2
333,Budigere,1991.0,4.0,103.0,3
334,Ambalipura,1105.0,2.0,75.0,2
335,Hoodi,985.0,2.0,67.0,2
336,Balagere,1590.0,3.0,79.0,3
337,CV Raman Nagar,1120.0,2.0,55.0,2
338,other,1069.0,2.0,55.0,2
339,Marathahalli,1933.0,3.0,140.0,3
340,Hosur Road,1194.0,2.0,69.0,2
341,Brookefield,1150.0,2.0,69.0,2
342,Yelenahalli,1240.0,2.0,47.12,2
343,Raja Rajeshwari Nagar,1419.0,2.0,48.1,2
344,other,1450.0,3.0,55.0,3
345,other,1630.0,3.0,68.29,3
346,Dasanapura,708.0,1.0,40.0,2
347,Whitefield,11890.0,4.0,700.0,4
348,Bellandur,1250.0,2.0,76.0,2
349,7th Phase JP Nagar,1400.0,2.0,95.0,3
350,Sarjapur  Road,1670.0,2.0,57.0,3
351,Ardendale,1750.0,3.0,100.0,3
352,Vittasandra,1404.0,2.0,71.0,2
353,Hoodi,1715.0,2.0,95.0,3
354,Electronic City,630.0,1.0,34.65,1
355,Harlur,1752.12,3.0,135.0,3
356,Hulimavu,1650.0,3.0,78.0,3
357,Raja Rajeshwari Nagar,1295.0,2.0,55.47,2
358,Sarjapur  Road,1346.0,2.0,74.03,2
359,Hormavu,1150.0,2.0,55.0,2
360,AECS Layout,1620.0,3.0,98.0,3
361,Marathahalli,950.0,2.0,46.96,2
362,Harlur,2450.0,3.0,120.0,3
363,Electronic City Phase II,1220.0,2.0,35.23,3
364,other,850.0,2.0,30.0,2
365,Padmanabhanagar,1020.0,2.0,63.0,2
366,Chikkalasandra,1100.0,2.0,50.0,2
367,Hebbal,1760.0,2.0,130.0,3
368,Ambalipura,1800.0,3.0,110.0,3
369,Akshaya Nagar,1070.0,2.0,54.0,2
370,Vidyaranyapura,1440.0,2.0,95.0,2
371,Amruthahalli,900.0,2.0,40.0,2
372,Whitefield,1130.0,2.0,42.16,2
373,Kodigehalli,1270.0,2.0,98.0,2
374,other,1200.0,2.0,62.0,2
375,other,4800.0,4.0,235.0,4
376,other,1200.0,2.0,74.0,2
377,Subramanyapura,929.0,2.0,50.17,2
378,other,1464.0,3.0,56.0,3
379,other,2000.0,4.0,99.0,4
380,Chikkalasandra,1208.0,2.0,49.0,2
381,Hebbal Kempapura,1130.0,2.0,60.0,2
382,other,1753.0,3.0,120.0,3
383,Hoodi,1196.0,2.0,94.42,2
384,5th Phase JP Nagar,1150.0,3.0,52.5,2
385,Electronic City,1128.0,2.0,63.0,2
386,other,1000.0,2.0,53.0,2
387,Yelahanka,1035.0,2.0,45.0,2
388,Kereguddadahalli,950.0,2.0,32.0,2
389,Bisuvanahalli,1075.0,2.0,36.0,3
390,Whitefield,1040.0,2.0,48.5,2
391,other,720.0,2.0,45.0,2
392,Lingadheeranahalli,1511.0,3.0,95.0,3
393,other,1300.0,3.0,58.0,3
394,Hoodi,1545.0,3.0,68.75,3
395,Shampura,375.0,2.0,26.0,1
396,Vidyaranyapura,1062.0,2.0,38.0,2
397,other,1115.0,2.0,40.0,2
398,JP Nagar,1000.0,2.0,35.0,2
399,Kambipura,883.0,2.0,45.0,2
400,Sarjapur  Road,1195.0,2.0,70.0,2
401,other,700.0,1.0,41.0,1
402,Vittasandra,1246.0,2.0,67.0,2
403,other,1600.0,4.0,80.0,4
404,Haralur Road,2805.0,5.0,154.0,4
405,Begur Road,1584.0,3.0,65.0,3
406,Hosur Road,1175.0,2.0,48.0,3
407,other,1595.0,3.0,115.0,3
408,other,1353.0,2.0,110.0,2
409,Electronic City,1599.0,3.0,125.0,3
410,Whitefield,1150.0,2.0,70.0,2
411,KR Puram,1155.0,2.0,42.74,2
412,other,1200.0,2.0,85.0,1
413,Thanisandra,3000.0,4.0,120.0,4
414,Ramagondanahalli,1251.0,2.0,47.0,2
415,other,1028.0,2.0,45.5,2
416,Arekere,1222.0,2.0,45.0,2
417,Bannerghatta Road,1170.0,2.0,66.0,3
418,other,1385.0,2.0,48.48,3
419,HSR Layout,1372.0,2.0,68.0,2
420,Magadi Road,1282.0,2.0,49.0,3
421,Kanakpura Road,1135.0,2.0,39.73,2
422,Whitefield,1768.0,3.0,101.0,3
423,other,1325.0,2.0,90.0,3
424,Electronic City,1599.0,3.0,99.0,3
425,Whitefield,1500.0,3.0,61.95,3
426,Uttarahalli,1286.0,2.0,63.0,2
427,Kammanahalli,2845.0,5.0,140.0,5
428,other,1600.0,2.0,50.0,3
429,Hennur Road,1915.0,2.0,63.77,2
430,Munnekollal,1102.0,2.0,53.67,2
431,Yelahanka,1350.0,2.0,54.0,2
432,Banashankari,1200.0,2.0,42.0,3
433,other,1800.0,1.0,80.0,2
434,Chikkabanavar,950.0,2.0,40.0,2
435,Kanakpura Road,525.0,1.0,27.25,1
436,Attibele,656.0,2.0,25.0,2
437,other,1056.0,2.0,80.0,2
438,Bannerghatta Road,595.0,1.0,33.32,1
439,other,1080.0,2.0,50.0,2
440,7th Phase JP Nagar,2225.0,3.0,160.0,3
441,Electronics City Phase 1,1490.0,3.0,84.0,3
442,Sarjapur  Road,1550.0,3.0,100.0,3
443,Sarjapur  Road,1600.0,3.0,86.0,3
444,other,1160.0,2.0,55.0,2
445,Whitefield,4144.0,4.0,315.0,4
446,Sarjapur  Road,2100.0,3.0,125.0,3
447,Vittasandra,1404.0,2.0,69.3,2
448,other,1544.0,3.0,120.0,3
449,Banashankari Stage III,1305.0,2.0,58.7,3
450,Marathahalli,1230.0,2.0,80.0,2
451,other,1200.0,2.0,65.0,2
452,Harlur,1460.0,3.0,73.0,3
453,Gottigere,967.0,2.0,45.0,2
454,other,540.0,1.0,36.0,1
455,Hormavu,715.0,1.0,46.0,1
456,Mysore Road,1020.0,2.0,48.95,2
457,Jigani,1020.0,2.0,40.0,2
458,Koramangala,1253.0,2.0,102.0,2
459,other,1180.0,2.0,42.0,2
460,Nehru Nagar,961.0,2.0,38.0,2
461,Kanakapura,1419.0,3.0,75.0,3
462,other,1600.0,2.0,115.0,2
463,other,416.0,1.0,18.5,1
464,HSR Layout,1430.0,2.0,65.0,3
465,other,1260.0,2.0,45.0,2
466,other,1630.0,3.0,85.0,3
467,Sarjapur  Road,1249.0,3.0,44.71,3
468,Kalena Agrahara,1450.0,2.0,85.0,3
469,Konanakunte,2791.0,3.0,223.0,3
470,other,834.0,1.0,60.0,1
471,other,1125.0,4.0,70.0,3
472,Arekere,2060.0,3.0,140.0,3
473,Raja Rajeshwari Nagar,1133.0,2.0,49.07,2
474,Bisuvanahalli,1075.0,2.0,37.0,3
475,Vidyaranyapura,1200.0,2.0,55.0,2
476,Thanisandra,1075.0,2.0,45.8,2
477,Kaggadasapura,1140.0,2.0,40.0,2
478,Raja Rajeshwari Nagar,1090.0,2.0,42.0,2
479,R.T. Nagar,1500.0,4.0,70.0,4
480,Whitefield,1790.0,3.0,100.0,3
481,Hebbal,1920.0,3.0,134.0,3
482,HRBR Layout,1374.0,2.0,95.0,2
483,Bannerghatta Road,1445.0,3.0,95.0,3
484,Kanakapura,711.0,1.0,36.0,1
485,Tumkur Road,1500.0,3.0,95.0,3
486,Whitefield,1720.0,3.0,100.0,3
487,Vasanthapura,1400.0,3.0,60.0,3
488,Kundalahalli,1030.0,2.0,49.0,2
489,Mysore Road,1200.0,2.0,85.0,2
490,other,1375.0,3.0,70.0,3
491,Hegde Nagar,1050.0,1.0,56.0,2
492,Jalahalli,2250.0,3.0,160.0,3
493,Bellandur,1000.0,2.0,50.0,2
494,other,469.0,1.0,25.0,1
495,Marathahalli,3800.0,4.0,250.0,4
496,Kambipura,883.0,2.0,29.0,2
497,GM Palaya,1820.0,2.0,86.0,3
498,Singasandra,1440.0,2.0,65.0,3
499,other,3600.0,4.0,160.0,6
500,Mahadevpura,1225.0,2.0,48.0,2
501,Chikkalasandra,875.0,2.0,52.8,2
502,Jalahalli East,750.0,1.0,40.0,1
503,6th Phase JP Nagar,1180.0,2.0,80.0,2
504,Haralur Road,1194.0,2.0,47.0,2
505,Hennur Road,1500.0,2.0,62.0,3
506,other,1160.0,2.0,52.2,2
507,Sarjapur,1128.0,2.0,60.0,2
508,other,1220.0,2.0,35.23,3
509,Sarjapur  Road,1210.0,2.0,58.0,2
510,Kanakpura Road,1100.0,2.0,58.0,3
511,Bommasandra,1200.0,3.0,46.0,3
512,Haralur Road,3385.0,5.0,260.0,4
513,other,1641.0,3.0,66.0,3
514,Horamavu Agara,1200.0,2.0,45.0,2
515,Raja Rajeshwari Nagar,1260.0,2.0,67.39,2
516,Mahadevpura,1720.0,3.0,78.0,3
517,Yelahanka,1692.5,2.0,48.13,2
518,Yelahanka,1210.0,2.0,45.98,2
519,Bisuvanahalli,1075.0,2.0,45.0,3
520,Thanisandra,1702.0,3.0,130.0,3
521,Raja Rajeshwari Nagar,1141.0,2.0,38.55,2
522,other,2072.0,3.0,108.0,3
523,JP Nagar,7720.0,2.0,375.0,5
524,other,1200.0,2.0,70.0,3
525,other,1350.0,3.0,77.0,3
526,other,5591.0,4.0,445.0,4
527,other,1180.0,2.0,78.34,3
528,Bannerghatta Road,1640.0,2.0,120.0,3
529,Kodichikkanahalli,1190.0,2.0,57.0,3
530,Marathahalli,1019.0,2.0,49.85,2
531,Akshaya Nagar,1250.0,3.0,40.0,3
532,Whitefield,1140.0,2.0,56.0,2
533,Lingadheeranahalli,1683.0,3.0,109.0,3
534,Kaggadasapura,1515.0,3.0,83.3,3
535,Hoodi,2118.0,4.0,111.0,4
536,Bannerghatta Road,1380.0,3.0,58.0,4
537,Varthur Road,1083.0,2.0,61.75,2
538,other,2300.0,3.0,120.0,3
539,other,1240.0,2.0,60.0,2
540,other,1750.0,3.0,120.0,3
541,other,1230.0,2.0,43.48,2
542,Abbigere,985.0,2.0,40.39,2
543,Tindlu,1500.0,2.0,87.0,3
544,Electronic City,1125.0,2.0,32.49,2
545,other,950.0,2.0,44.0,2
546,JP Nagar,7800.0,2.0,548.5,5
547,Kothanur,1580.0,3.0,76.0,3
548,Hennur Road,2264.0,3.0,159.0,3
549,Kammasandra,810.0,2.0,24.5,2
550,other,1045.0,2.0,45.0,2
551,Hebbal,1337.0,2.0,82.0,2
552,Begur Road,1500.0,2.0,54.0,3
553,Whitefield,1640.0,4.0,91.0,3
554,other,1570.0,3.0,62.0,3
555,Gubbalala,1470.0,2.0,82.0,3
556,Kengeri,1160.0,2.0,40.61,2
557,7th Phase JP Nagar,1050.0,2.0,71.0,2
558,Bannerghatta Road,1460.0,2.0,90.0,3
559,Hulimavu,1823.0,3.0,100.0,3
560,Electronic City,1094.0,2.0,42.0,2
561,Budigere,1153.0,2.0,57.0,2
562,other,1325.0,3.0,57.0,3
563,Parappana Agrahara,1200.0,3.0,85.0,4
564,Jakkur,1590.0,2.0,125.0,3
565,other,1202.0,2.0,48.0,2
566,Haralur Road,1202.0,2.0,53.0,2
567,other,1200.0,2.0,62.5,2
568,Panathur,1688.0,3.0,118.0,3
569,Kaval Byrasandra,1020.0,2.0,52.0,2
570,Sarjapur,1185.0,2.0,47.0,2
571,Ramagondanahalli,1235.0,2.0,52.04,2
572,Banashankari,1077.0,2.0,37.64,2
573,Kengeri Satellite Town,1415.0,2.0,66.0,3
574,EPIP Zone,2330.0,3.0,162.0,3
575,Whitefield,805.0,2.0,35.0,2
576,other,425.0,1.0,20.03,1
577,Whitefield,1155.0,2.0,59.95,2
578,Anekal,656.0,2.0,22.0,2
579,other,1100.0,2.0,48.0,2
580,Mahadevpura,1150.0,2.0,52.0,2
581,Whitefield,2280.0,4.0,126.0,3
582,Hegde Nagar,1341.0,2.0,97.0,2
583,Jakkur,1279.0,2.0,77.0,2
584,Electronic City Phase II,2225.0,4.0,98.88,4
585,Thanisandra,1185.0,2.0,43.51,2
586,other,1750.0,3.0,85.0,3
587,Kudlu,1152.0,2.0,53.5,2
588,Varthur Road,2760.0,4.0,155.0,4
589,5th Phase JP Nagar,1070.0,2.0,39.0,2
590,Uttarahalli,1101.0,2.0,45.0,2
591,other,775.0,2.0,55.0,2
592,Yeshwanthpur,667.0,1.0,36.85,1
