,location,total_sqft,bath,price,bhk,encoded_loc
51,other,845.0,2.0,55.0,2,240
52,Varthur,1160.0,2.0,44.0,2,226
53,Doddathoguru,1100.0,2.0,62.0,2,73
54,Gunjur,1140.0,2.0,43.0,2,88
55,Marathahalli,1220.0,2.0,57.0,2,165
56,Kanakpura Road,1005.0,2.0,36.68,2,131
57,Begur Road,1358.0,2.0,80.58,2,42
58,Hegde Nagar,1569.0,3.0,101.0,3,97
59,Haralur Road,1240.0,2.0,70.0,2,93
60,Hennur Road,2089.0,3.0,140.0,3,99
61,Kothannur,1206.0,2.0,48.23,2,149
62,Kalena Agrahara,1150.0,2.0,40.0,2,125
63,other,2511.0,3.0,205.0,3,240
64,ISRO Layout,4400.0,6.0,250.0,6,109
65,other,1660.0,2.0,105.0,3,240
66,Hennur Road,4682.0,2.0,224.5,4,99
67,Yelahanka,1326.0,2.0,78.0,2,236
68,Garudachar Palya,1325.0,2.0,60.8,3,82
69,Hegde Nagar,3000.0,7.0,210.0,6,97
70,Kanakpura Road,1665.0,3.0,88.0,3,131
71,Dasanapura,708.0,2.0,37.0,2,66
72,Kasavanhalli,1060.0,2.0,58.06,2,134
73,Sanjay nagar,1000.0,2.0,70.0,2,200
74,Electronic City,1000.0,2.0,28.88,2,77
75,other,1450.0,2.0,70.0,3,240
76,Thanisandra,1296.0,2.0,80.0,2,218
77,Domlur,1540.0,3.0,90.0,3,74
78,Sarjapura - Attibele Road,1330.0,2.0,48.0,3,204
79,other,1200.0,2.0,65.0,2,240
80,other,1200.0,3.0,90.0,3,240
81,Yeshwanthpur,2502.0,3.0,138.0,3,239
82,Kothanur,2400.0,2.0,150.0,3,150
83,other,1007.0,2.0,43.0,2,240
84,other,1200.0,2.0,50.0,2,240
85,other,966.0,2.0,49.9,2,240
86,Nagarbhavi,1630.0,2.0,98.0,3,174
87,other,782.0,2.0,55.68,2,240
88,Devanahalli,1260.0,2.0,66.78,2,68
89,other,1800.0,3.0,120.0,3,240
90,other,1413.0,2.0,75.0,3,240
91,Whitefield,1116.0,2.0,51.91,2,234
92,Electronic City,1530.0,2.0,45.9,3,77
93,Ramamurthy Nagar,3700.0,4.0,225.0,4,197
94,Sarjapur  Road,2497.0,3.0,140.0,3,203
95,Kengeri,1540.0,2.0,64.0,3,139
96,Thanisandra,1436.0,3.0,74.75,3,218
97,Malleshwaram,1100.0,2.0,75.0,2,164
98,Hebbal,7145.0,4.0,477.0,4,95
99,Shampura,2650.0,4.0,150.0,4,208
100,Devanahalli,1282.0,2.0,68.52,3,68
101,Kadugodi,1050.0,2.0,34.0,2,121
102,LB Shastri Nagar,1600.0,3.0,65.0,3,155
103,other,945.0,2.0,54.0,2,240
104,Hormavu,1500.0,2.0,78.0,2,103
105,other,1870.0,3.0,110.0,3,240
106,Sarjapur,1600.0,3.0,75.0,3,202
107,Kudlu Gate,1535.0,3.0,83.0,3,152
108,Kanakpura Road,950.0,2.0,57.0,2,131
109,Devanahalli,1360.0,2.0,65.0,2,68
110,8th Phase JP Nagar,1594.5,2.0,54.005,2,8
111,Bommasandra Industrial Area,1280.0,3.0,50.4,3,52
112,other,1260.0,2.0,85.05,3,240
113,Yelahanka,3050.0,5.0,213.0,5,236
114,Kasavanhalli,1563.05,3.0,105.0,3,134
115,ISRO Layout,1000.0,2.0,60.0,2,109
116,Anandapura,1167.0,2.0,43.76,2,16
117,Kothanur,1828.0,3.0,110.0,3,150
118,Kengeri Satellite Town,890.0,2.0,35.0,2,140
119,other,1612.0,3.0,46.74,3,240
120,Mysore Road,1710.0,4.0,91.31,3,171
121,Kannamangala,957.0,2.0,58.0,2,132
122,Devarachikkanahalli,1250.0,2.0,44.0,3,69
123,Hulimavu,1125.0,2.0,50.0,2,108
124,Electronic City Phase II,1020.0,2.0,30.6,2,78
125,Kalena Agrahara,1200.0,2.0,50.0,2,125
126,Thanisandra,1735.0,3.0,135.0,3,218
127,Thanisandra,2050.0,3.0,145.0,3,218
128,other,1350.0,2.0,48.0,3,240
129,Hosa Road,1063.0,2.0,32.0,2,104
130,other,1904.0,3.0,150.0,3,240
131,other,1425.0,2.0,75.0,3,240
132,Electronic City,1500.0,2.0,64.5,3,77
133,Electronic City,1060.0,2.0,60.0,2,77
134,other,1470.0,2.0,70.0,3,240
135,Electronic City,1152.0,2.0,64.5,2,77
136,Electronic City,1350.0,2.0,56.0,3,77
137,CV Raman Nagar,1550.0,3.0,65.0,3,56
138,other,1500.0,3.0,100.0,3,240
139,Nagavara,400.0,1.0,14.0,1,176
140,Electronic City,770.0,1.0,36.0,2,77
141,Hulimavu,1242.0,2.0,51.0,2,108
142,Thanisandra,2144.0,3.0,145.0,3,218
143,Vijayanagar,1704.0,3.0,110.0,3,230
144,Electronic City,1070.0,2.0,52.0,2,77
145,other,1340.0,2.0,55.7,2,240
146,Electronic City,1025.0,2.0,46.0,2,77
147,KR Puram,1785.0,2.0,56.8,2,119
148,Marathahalli,1200.0,2.0,52.0,2,165
149,Kanakpura Road,2250.0,4.0,110.0,4,131
150,Pattandur Agrahara,1550.0,2.0,80.0,3,188
151,Marathahalli,1200.0,2.0,60.0,2,165
152,Yelahanka,1327.0,2.0,98.0,2,236
153,Kothanur,1186.0,2.0,58.0,2,150
154,other,1783.0,3.0,115.0,3,240
155,HSR Layout,1400.0,3.0,56.0,3,92
156,Nagasandra,980.0,2.0,48.0,2,175
157,EPIP Zone,1285.0,2.0,82.0,2,76
158,other,912.0,2.0,70.0,3,240
159,Whitefield,1225.0,2.0,47.6,2,234
160,Whitefield,1075.0,2.0,53.0,2,234
161,Kadugodi,1260.0,2.0,54.0,3,121
162,Yelahanka,1282.0,2.0,48.7,3,236
163,Kogilu,1909.0,3.0,88.0,3,146
164,Panathur,1359.0,2.0,87.0,2,186
165,other,1207.0,2.0,43.5,2,240
166,Kammasandra,1595.0,3.0,65.0,3,129
167,other,1798.0,3.0,89.0,3,240
168,Electronics City Phase 1,1475.0,3.0,78.29,3,79
169,other,1580.0,3.0,100.0,3,240
170,Dasarahalli,1295.0,2.0,65.0,2,67
171,Magadi Road,3600.0,6.0,141.0,6,159
172,Electronic City,589.0,1.0,27.0,1,77
173,other,1415.0,3.0,78.0,3,240
174,Sarjapur  Road,1787.0,3.0,98.29,3,203
175,Sarjapur  Road,1787.0,3.0,125.0,3,203
176,Koramangala,1475.0,2.0,90.0,3,148
177,other,2000.0,4.0,75.5,4,240
178,Sarjapur  Road,984.0,2.0,44.28,2,203
179,Devanahalli,2390.0,2.0,74.82,3,68
180,7th Phase JP Nagar,1080.0,2.0,72.0,2,7
181,other,1500.0,2.0,115.0,2,240
182,Hebbal,1900.0,3.0,119.0,3,95
183,Budigere,1153.0,2.0,56.4,2,55
184,other,1148.0,2.0,60.0,2,240
185,other,1110.0,2.0,55.0,2,240
186,Electronic City,1100.0,2.0,42.0,2,77
187,other,1500.0,2.0,65.0,3,240
188,other,1080.0,2.0,39.0,2,240
189,Vijayanagar,1933.0,3.0,129.0,3,230
190,Ramamurthy Nagar,3500.0,5.0,150.0,5,197
191,other,1060.0,2.0,60.0,2,240
192,other,1644.0,3.0,84.0,3,240
193,other,1285.0,2.0,72.5,2,240
194,Electronic City,1200.0,3.0,90.0,3,77
195,Electronic City,910.0,2.0,40.0,2,77
196,Kothanur,1577.0,3.0,70.0,3,150
197,other,4050.0,3.0,280.0,3,240
198,OMBR Layout,2420.0,3.0,185.0,3,181
199,other,1060.0,2.0,55.0,2,240
200,7th Phase JP Nagar,1270.0,2.0,93.0,2,7
201,other,1280.0,2.0,69.0,2,240
202,Horamavu Agara,1200.0,2.0,95.0,4,101
203,Sarjapur  Road,1025.0,2.0,36.0,2,203
204,Electronic City,1108.0,2.0,63.0,2,77
205,other,3045.0,3.0,170.0,3,240
206,Vijayanagar,1500.0,3.0,75.5,3,230
207,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2,193
208,Budigere,1162.0,2.0,59.9,2,55
209,Sarjapur  Road,1035.0,2.0,49.2,2,203
210,Attibele,1600.0,4.0,52.8,4,22
211,other,1464.0,3.0,46.0,3,240
212,Hennur Road,1866.0,2.0,61.58,3,99
213,other,700.0,1.0,26.0,2,240
214,Kalena Agrahara,1804.0,3.0,120.0,3,125
215,Sarjapur,913.0,2.0,32.0,2,202
216,Talaghattapura,1868.0,3.0,131.0,3,217
217,Kengeri Satellite Town,883.0,2.0,45.0,2,140
218,Kogilu,1664.0,2.0,73.95,3,146
219,Hegde Nagar,2026.0,3.0,132.0,3,97
220,Balagere,1210.0,2.0,80.9,2,28
221,other,4111.0,4.0,250.0,4,240
222,Kadugodi,1762.0,3.0,91.45,3,121
223,Jigani,1252.0,3.0,55.0,3,117
224,Gollarapalya Hosahalli,861.0,2.0,34.5,2,84
225,7th Phase JP Nagar,1420.0,2.0,100.0,3,7
226,Electronics City Phase 1,1490.0,3.0,78.8,3,79
227,Bisuvanahalli,1075.0,2.0,46.0,3,49
228,Old Madras Road,1425.0,2.0,94.0,3,183
229,Kalena Agrahara,1200.0,2.0,40.0,2,125
230,Kaggadasapura,1280.0,2.0,56.0,3,122
231,other,1084.0,2.0,50.0,2,240
232,Kanakpura Road,1017.0,2.0,51.25,2,131
233,Haralur Road,1027.0,2.0,44.0,2,93
234,Electronic City Phase II,1069.0,2.0,45.0,2,78
235,Hebbal,1349.0,2.0,98.2,2,95
236,9th Phase JP Nagar,1005.0,2.0,50.0,2,9
237,Jakkur,1417.0,2.0,75.0,2,114
238,TC Palaya,1475.0,3.0,98.0,3,216
239,other,950.0,2.0,47.0,2,240
240,other,2000.0,4.0,120.0,4,240
241,Sarjapur  Road,1863.0,3.0,104.0,4,203
242,Singasandra,1010.0,2.0,29.5,2,210
243,Kalena Agrahara,1425.0,2.0,70.0,3,125
244,Vijayanagar,1450.0,3.0,100.0,3,230
245,Kothanur,1847.0,3.0,105.0,3,150
246,AECS Layout,1100.0,2.0,45.0,2,10
247,Kanakpura Road,525.0,1.0,26.0,1,131
248,Mallasandra,1665.0,3.0,95.0,3,162
249,Begur,1664.0,4.0,65.0,4,41
250,JP Nagar,1850.0,3.0,150.0,3,113
251,Panathur,1438.0,2.0,100.0,2,186
252,other,1560.0,3.0,115.0,3,240
253,Yelahanka,1350.0,2.0,55.55,2,236
254,Kanakpura Road,1550.0,3.0,67.0,3,131
255,Malleshpalya,1140.0,2.0,46.5,2,163
256,other,850.0,2.0,27.0,2,240
257,Whitefield,1280.0,2.0,75.0,2,234
258,Munnekollal,1170.0,2.0,52.0,2,169
259,other,1113.0,2.0,51.0,2,240
260,Hennur Road,1385.0,2.0,83.09,2,99
261,Electronic City,1128.0,2.0,65.0,2,77
262,Haralur Road,1464.0,3.0,56.0,3,93
263,other,1200.0,2.0,55.0,2,240
264,Kaval Byrasandra,1200.0,2.0,52.0,2,137
265,Kaggalipura,1150.0,2.0,55.0,3,123
266,other,1645.0,3.0,95.0,3,240
267,Sarjapur  Road,1000.0,2.0,67.0,2,203
268,Haralur Road,2650.0,4.0,198.0,4,93
269,6th Phase JP Nagar,1192.0,2.0,74.0,2,6
270,Whitefield,1173.0,2.0,58.0,2,234
271,Uttarahalli,1020.0,2.0,45.0,2,225
272,Somasundara Palya,1600.0,3.0,64.0,3,211
273,other,1200.0,2.0,79.0,2,240
274,other,1230.0,2.0,48.0,2,240
275,Devarachikkanahalli,1250.0,2.0,40.0,2,69
276,Kalena Agrahara,1325.0,2.0,76.0,2,125
277,7th Phase JP Nagar,1850.0,3.0,150.0,3,7
278,Kanakpura Road,525.0,2.0,21.53,1,131
279,Basaveshwara Nagar,1200.0,2.0,65.0,2,39
280,Bommasandra,1260.0,3.0,49.36,3,51
281,Ardendale,1100.0,2.0,43.25,2,20
282,Harlur,1508.0,2.0,77.0,2,94
283,other,1592.0,3.0,75.0,3,240
284,Akshaya Nagar,1388.0,2.0,57.0,2,12
285,Electronic City Phase II,630.0,1.0,28.35,1,78
286,other,1762.0,3.0,125.0,3,240
287,other,950.0,2.0,50.0,2,240
288,Magadi Road,1116.0,2.0,50.0,2,159
289,Narayanapura,1308.0,2.0,89.04,2,178
290,other,1200.0,3.0,90.0,3,240
291,Bannerghatta Road,500.0,1.0,18.5,1,37
292,Hennur,1075.0,2.0,52.0,2,98
293,Bellandur,1205.0,2.0,66.0,2,43
294,5th Phase JP Nagar,1075.0,2.0,60.0,2,5
295,KR Puram,930.0,2.0,39.0,2,119
296,Balagere,1380.0,2.0,60.0,2,28
297,Kodigehaali,1166.0,2.0,55.0,2,143
298,Bannerghatta Road,1050.0,2.0,65.0,2,37
299,Begur Road,1200.0,2.0,46.8,2,42
300,Lakshminarayana Pura,1600.0,2.0,108.0,3,157
301,Billekahalli,1935.0,3.0,110.0,3,47
302,8th Phase JP Nagar,451.0,1.0,29.9,1,8
303,Electronic City,1800.0,3.0,95.0,3,77
304,Jalahalli,1400.0,3.0,77.0,3,115
305,Hegde Nagar,1801.0,3.0,115.0,3,97
306,Mahadevpura,1451.0,2.0,90.0,2,160
307,Anekal,1200.0,1.0,36.0,2,18
308,Begur Road,1160.0,2.0,44.0,2,42
309,Kanakpura Road,950.0,2.0,40.0,2,131
310,other,1629.0,3.0,79.0,3,240
311,Vijayanagar,1826.0,3.0,121.0,3,230
312,7th Phase JP Nagar,1245.0,2.0,94.0,2,7
313,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2,193
314,Sompura,825.0,2.0,33.0,2,212
315,Yeshwanthpur,1693.0,3.0,108.0,3,239
316,Electronics City Phase 1,1113.27,2.0,53.0,2,79
317,other,1460.0,2.0,58.0,2,240
318,Doddathoguru,1050.0,2.0,32.0,2,73
319,Dodda Nekkundi,1260.0,2.0,55.0,2,70
320,Hosur Road,1656.0,2.0,120.0,2,107
321,Chandapura,1208.0,3.0,45.0,3,58
322,Whitefield,3252.0,4.0,230.0,4,234
323,Battarahalli,1200.0,2.0,65.0,2,40
324,7th Phase JP Nagar,1175.0,2.0,82.0,2,7
325,other,1185.0,2.0,38.0,2,240
326,Kengeri,750.0,2.0,38.0,2,139
327,Kanakpura Road,1550.0,3.0,64.5,3,131
328,other,1760.0,3.0,88.0,3,240
329,Billekahalli,1125.0,2.0,62.0,2,47
330,Anandapura,1000.0,2.0,55.0,2,16
331,Bommasandra Industrial Area,1090.0,2.0,31.48,2,52
332,TC Palaya,1200.0,2.0,60.0,2,216
333,Budigere,1991.0,4.0,103.0,3,55
334,Ambalipura,1105.0,2.0,75.0,2,13
335,Hoodi,985.0,2.0,67.0,2,100
336,Balagere,1590.0,3.0,79.0,3,28
337,CV Raman Nagar,1120.0,2.0,55.0,2,56
338,other,1069.0,2.0,55.0,2,240
339,Marathahalli,1933.0,3.0,140.0,3,165
340,Hosur Road,1194.0,2.0,69.0,2,107
341,Brookefield,1150.0,2.0,69.0,2,54
342,Yelenahalli,1240.0,2.0,47.12,2,238
343,Raja Rajeshwari Nagar,1419.0,2.0,48.1,2,193
344,other,1450.0,3.0,55.0,3,240
345,other,1630.0,3.0,68.29,3,240
346,Dasanapura,708.0,1.0,40.0,2,66
347,Whitefield,11890.0,4.0,700.0,4,234
348,Bellandur,1250.0,2.0,76.0,2,43
349,7th Phase JP Nagar,1400.0,2.0,95.0,3,7
350,Sarjapur  Road,1670.0,2.0,57.0,3,203
351,Ardendale,1750.0,3.0,100.0,3,20
352,Vittasandra,1404.0,2.0,71.0,2,233
353,Hoodi,1715.0,2.0,95.0,3,100
354,Electronic City,630.0,1.0,34.65,1,77
355,Harlur,1752.12,3.0,135.0,3,94
356,Hulimavu,1650.0,3.0,78.0,3,108
357,Raja Rajeshwari Nagar,1295.0,2.0,55.47,2,193
358,Sarjapur  Road,1346.0,2.0,74.03,2,203
359,Hormavu,1150.0,2.0,55.0,2,103
360,AECS Layout,1620.0,3.0,98.0,3,10
361,Marathahalli,950.0,2.0,46.96,2,165
362,Harlur,2450.0,3.0,120.0,3,94
363,Electronic City Phase II,1220.0,2.0,35.23,3,78
364,other,850.0,2.0,30.0,2,240
365,Padmanabhanagar,1020.0,2.0,63.0,2,184
366,Chikkalasandra,1100.0,2.0,50.0,2,62
367,Hebbal,1760.0,2.0,130.0,3,95
368,Ambalipura,1800.0,3.0,110.0,3,13
369,Akshaya Nagar,1070.0,2.0,54.0,2,12
370,Vidyaranyapura,1440.0,2.0,95.0,2,229
371,Amruthahalli,900.0,2.0,40.0,2,15
372,Whitefield,1130.0,2.0,42.16,2,234
373,Kodigehalli,1270.0,2.0,98.0,2,144
374,other,1200.0,2.0,62.0,2,240
375,other,4800.0,4.0,235.0,4,240
376,other,1200.0,2.0,74.0,2,240
377,Subramanyapura,929.0,2.0,50.17,2,214
378,other,1464.0,3.0,56.0,3,240
379,other,2000.0,4.0,99.0,4,240
380,Chikkalasandra,1208.0,2.0,49.0,2,62
381,Hebbal Kempapura,1130.0,2.0,60.0,2,96
382,other,1753.0,3.0,120.0,3,240
383,Hoodi,1196.0,2.0,94.42,2,100
384,5th Phase JP Nagar,1150.0,3.0,52.5,2,5
385,Electronic City,1128.0,2.0,63.0,2,77
386,other,1000.0,2.0,53.0,2,240
387,Yelahanka,1035.0,2.0,45.0,2,236
388,Kereguddadahalli,950.0,2.0,32.0,2,141
389,Bisuvanahalli,1075.0,2.0,36.0,3,49
390,Whitefield,1040.0,2.0,48.5,2,234
391,other,720.0,2.0,45.0,2,240
392,Lingadheeranahalli,1511.0,3.0,95.0,3,158
393,other,1300.0,3.0,58.0,3,240
394,Hoodi,1545.0,3.0,68.75,3,100
395,Shampura,375.0,2.0,26.0,1,208
396,Vidyaranyapura,1062.0,2.0,38.0,2,229
397,other,1115.0,2.0,40.0,2,240
398,JP Nagar,1000.0,2.0,35.0,2,113
399,Kambipura,883.0,2.0,45.0,2,127
400,Sarjapur  Road,1195.0,2.0,70.0,2,203
401,other,700.0,1.0,41.0,1,240
402,Vittasandra,1246.0,2.0,67.0,2,233
403,other,1600.0,4.0,80.0,4,240
404,Haralur Road,2805.0,5.0,154.0,4,93
405,Begur Road,1584.0,3.0,65.0,3,42
406,Hosur Road,1175.0,2.0,48.0,3,107
407,other,1595.0,3.0,115.0,3,240
408,other,1353.0,2.0,110.0,2,240
409,Electronic City,1599.0,3.0,125.0,3,77
410,Whitefield,1150.0,2.0,70.0,2,234
411,KR Puram,1155.0,2.0,42.74,2,119
412,other,1200.0,2.0,85.0,1,240
413,Thanisandra,3000.0,4.0,120.0,4,218
414,Ramagondanahalli,1251.0,2.0,47.0,2,196
415,other,1028.0,2.0,45.5,2,240
416,Arekere,1222.0,2.0,45.0,2,21
417,Bannerghatta Road,1170.0,2.0,66.0,3,37
418,other,1385.0,2.0,48.48,3,240
419,HSR Layout,1372.0,2.0,68.0,2,92
420,Magadi Road,1282.0,2.0,49.0,3,159
421,Kanakpura Road,1135.0,2.0,39.73,2,131
422,Whitefield,1768.0,3.0,101.0,3,234
423,other,1325.0,2.0,90.0,3,240
424,Electronic City,1599.0,3.0,99.0,3,77
425,Whitefield,1500.0,3.0,61.95,3,234
426,Uttarahalli,1286.0,2.0,63.0,2,225
427,Kammanahalli,2845.0,5.0,140.0,5,128
428,other,1600.0,2.0,50.0,3,240
429,Hennur Road,1915.0,2.0,63.77,2,99
430,Munnekollal,1102.0,2.0,53.67,2,169
431,Yelahanka,1350.0,2.0,54.0,2,236
432,Banashankari,1200.0,2.0,42.0,3,29
433,other,1800.0,1.0,80.0,2,240
434,Chikkabanavar,950.0,2.0,40.0,2,61
435,Kanakpura Road,525.0,1.0,27.25,1,131
436,Attibele,656.0,2.0,25.0,2,22
437,other,1056.0,2.0,80.0,2,240
438,Bannerghatta Road,595.0,1.0,33.32,1,37
439,other,1080.0,2.0,50.0,2,240
440,7th Phase JP Nagar,2225.0,3.0,160.0,3,7
441,Electronics City Phase 1,1490.0,3.0,84.0,3,79
442,Sarjapur  Road,1550.0,3.0,100.0,3,203
443,Sarjapur  Road,1600.0,3.0,86.0,3,203
444,other,1160.0,2.0,55.0,2,240
445,Whitefield,4144.0,4.0,315.0,4,234
446,Sarjapur  Road,2100.0,3.0,125.0,3,203
447,Vittasandra,1404.0,2.0,69.3,2,233
448,other,1544.0,3.0,120.0,3,240
449,Banashankari Stage III,1305.0,2.0,58.7,3,31
450,Marathahalli,1230.0,2.0,80.0,2,165
451,other,1200.0,2.0,65.0,2,240
452,Harlur,1460.0,3.0,73.0,3,94
453,Gottigere,967.0,2.0,45.0,2,85
454,other,540.0,1.0,36.0,1,240
455,Hormavu,715.0,1.0,46.0,1,103
456,Mysore Road,1020.0,2.0,48.95,2,171
457,Jigani,1020.0,2.0,40.0,2,117
458,Koramangala,1253.0,2.0,102.0,2,148
459,other,1180.0,2.0,42.0,2,240
460,Nehru Nagar,961.0,2.0,38.0,2,180
461,Kanakapura,1419.0,3.0,75.0,3,130
462,other,1600.0,2.0,115.0,2,240
463,other,416.0,1.0,18.5,1,240
464,HSR Layout,1430.0,2.0,65.0,3,92
465,other,1260.0,2.0,45.0,2,240
466,other,1630.0,3.0,85.0,3,240
467,Sarjapur  Road,1249.0,3.0,44.71,3,203
468,Kalena Agrahara,1450.0,2.0,85.0,3,125
469,Konanakunte,2791.0,3.0,223.0,3,147
470,other,834.0,1.0,60.0,1,240
471,other,1125.0,4.0,70.0,3,240
472,Arekere,2060.0,3.0,140.0,3,21
473,Raja Rajeshwari Nagar,1133.0,2.0,49.07,2,193
474,Bisuvanahalli,1075.0,2.0,37.0,3,49
475,Vidyaranyapura,1200.0,2.0,55.0,2,229
476,Thanisandra,1075.0,2.0,45.8,2,218
477,Kaggadasapura,1140.0,2.0,40.0,2,122
478,Raja Rajeshwari Nagar,1090.0,2.0,42.0,2,193
479,R.T. Nagar,1500.0,4.0,70.0,4,191
480,Whitefield,1790.0,3.0,100.0,3,234
481,Hebbal,1920.0,3.0,134.0,3,95
482,HRBR Layout,1374.0,2.0,95.0,2,91
483,Bannerghatta Road,1445.0,3.0,95.0,3,37
484,Kanakapura,711.0,1.0,36.0,1,130
485,Tumkur Road,1500.0,3.0,95.0,3,223
486,Whitefield,1720.0,3.0,100.0,3,234
487,Vasanthapura,1400.0,3.0,60.0,3,228
488,Kundalahalli,1030.0,2.0,49.0,2,154
489,Mysore Road,1200.0,2.0,85.0,2,171
490,other,1375.0,3.0,70.0,3,240
491,Hegde Nagar,1050.0,1.0,56.0,2,97
492,Jalahalli,2250.0,3.0,160.0,3,115
493,Bellandur,1000.0,2.0,50.0,2,43
494,other,469.0,1.0,25.0,1,240
495,Marathahalli,3800.0,4.0,250.0,4,165
496,Kambipura,883.0,2.0,29.0,2,127
497,GM Palaya,1820.0,2.0,86.0,3,81
498,Singasandra,1440.0,2.0,65.0,3,210
499,other,3600.0,4.0,160.0,6,240
500,Mahadevpura,1225.0,2.0,48.0,2,160
501,Chikkalasandra,875.0,2.0,52.8,2,62
502,Jalahalli East,750.0,1.0,40.0,1,116
503,6th Phase JP Nagar,1180.0,2.0,80.0,2,6
504,Haralur Road,1194.0,2.0,47.0,2,93
505,Hennur Road,1500.0,2.0,62.0,3,99
506,other,1160.0,2.0,52.2,2,240
507,Sarjapur,1128.0,2.0,60.0,2,202
508,other,1220.0,2.0,35.23,3,240
509,Sarjapur  Road,1210.0,2.0,58.0,2,203
510,Kanakpura Road,1100.0,2.0,58.0,3,131
511,Bommasandra,1200.0,3.0,46.0,3,51
512,Haralur Road,3385.0,5.0,260.0,4,93
513,other,1641.0,3.0,66.0,3,240
514,Horamavu Agara,1200.0,2.0,45.0,2,101
515,Raja Rajeshwari Nagar,1260.0,2.0,67.39,2,193
516,Mahadevpura,1720.0,3.0,78.0,3,160
517,Yelahanka,1692.5,2.0,48.13,2,236
518,Yelahanka,1210.0,2.0,45.98,2,236
519,Bisuvanahalli,1075.0,2.0,45.0,3,49
520,Thanisandra,1702.0,3.0,130.0,3,218
521,Raja Rajeshwari Nagar,1141.0,2.0,38.55,2,193
522,other,2072.0,3.0,108.0,3,240
523,JP Nagar,7720.0,2.0,375.0,5,113
524,other,1200.0,2.0,70.0,3,240
525,other,1350.0,3.0,77.0,3,240
526,other,5591.0,4.0,445.0,4,240
527,other,1180.0,2.0,78.34,3,240
528,Bannerghatta Road,1640.0,2.0,120.0,3,37
529,Kodichikkanahalli,1190.0,2.0,57.0,3,142
530,Marathahalli,1019.0,2.0,49.85,2,165
531,Akshaya Nagar,1250.0,3.0,40.0,3,12
532,Whitefield,1140.0,2.0,56.0,2,234
533,Lingadheeranahalli,1683.0,3.0,109.0,3,158
534,Kaggadasapura,1515.0,3.0,83.3,3,122
535,Hoodi,2118.0,4.0,111.0,4,100
536,Bannerghatta Road,1380.0,3.0,58.0,4,37
537,Varthur Road,1083.0,2.0,61.75,2,227
538,other,2300.0,3.0,120.0,3,240
539,other,1240.0,2.0,60.0,2,240
540,other,1750.0,3.0,120.0,3,240
541,other,1230.0,2.0,43.48,2,240
542,Abbigere,985.0,2.0,40.39,2,11
543,Tindlu,1500.0,2.0,87.0,3,222
544,Electronic City,1125.0,2.0,32.49,2,77
545,other,950.0,2.0,44.0,2,240
